vehicle_id;euro;model;model_extended;brand;configuration;cabin;length;width;height;power;mega;mileage;wheelbase;gearbox;registered_at;retarder;stock_at;entry_at;internet_price;is_new;production_at;cabin;brand;configuration;gearbox;has_t1;total_weight;net_weight;fuel;has_crane;crane_brand;crane_ton;crane_location;has_crane_hook;bed_amount;tank_amount;has_hydraulics;is_damaged;axle_reduction;driver_side;suspension;retarder_type;has_airco
271313;6;XF;XF 480;DAF;4X2;SPACE CAB;615;254;395;475;0;456984;380;AUTOMAAT;23/11/2017;true;1/12/2023;17/11/2023;18400;false;14/09/2017;SPACE CAB;DAF;4X2;AUTOMAAT;0;20500;11000;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
292537;6;R;R580;SCANIA;6X4;HIGHLINE CR19;0;0;0;573;0;357744;390;HANDGESCHAKELD;9/04/2018;true;21/06/2024;11/06/2024;53900;false;13/11/2017;HIGHLINE CR19;SCANIA;6X4;HANDGESCHAKELD;0;;0;diesel;true;Diebolt;87;behind_cabin;false;;1;true;false;hub;L;;Retarder;
307929;6;XF;XF 480;DAF;4X2;XF;600;250;370;475;1;205782;380;AUTOMAAT;1/01/2023;false;22/10/2025;30/10/2024;62800;false;23/06/2022;XF;DAF;4X2;AUTOMAAT;0;;0;diesel;false;;;;false;;2;false;false;;L;;;
307930;6;XF;XF 480;DAF;4X2;SLEEPER HIGH CAB;610;250;370;475;1;175160;380;AUTOMAAT;30/11/2022;false;19/11/2024;31/10/2024;48400;false;15/11/2022;SLEEPER HIGH CAB;DAF;4X2;AUTOMAAT;0;19000;0;diesel;false;;;;false;;2;false;false;single;L;;;
307934;6;XF;XF 480;DAF;4X2;SLEEPER HIGH CAB;610;250;370;475;1;224329;380;AUTOMAAT;1/07/2022;false;2/12/2024;8/11/2024;48400;false;22/06/2022;SLEEPER HIGH CAB;DAF;4X2;AUTOMAAT;0;;0;diesel;false;;;;false;;2;false;false;single;L;;;
307935;6;XF;XF 480;DAF;4X2;SLEEPER HIGH CAB;600;260;370;475;1;162512;380;AUTOMAAT;7/12/2022;false;22/10/2025;8/11/2024;62600;false;6/12/2022;SLEEPER HIGH CAB;DAF;4X2;AUTOMAAT;0;;0;diesel;false;;;;false;;2;false;false;single;L;;;
308027;6;XG+;XG+ 480;DAF;4X2;XG+;630;250;400;475;0;13;400;AUTOMAAT;1/10/2024;false;6/11/2024;29/10/2024;114900;true;13/09/2024;XG+;DAF;4X2;AUTOMAAT;0;;0;diesel;false;;;;false;;2;false;false;single;L;;;
318627;6;S;S460;SCANIA;4X2;CS20 HIGHLINE;615;256;398;460;0;276348;376;AUTOMAAT;25/02/2023;true;26/03/2025;18/03/2025;68900;false;26/01/2023;CS20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8711;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
318633;6;S;S460;SCANIA;4X2;CS20 HIGHLINE;615;255;400;460;0;272986;376;AUTOMAAT;25/02/2023;true;26/03/2025;18/03/2025;68900;false;30/01/2023;CS20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8711;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
325905;6;XG;XG 480;DAF;4X2;XG;0;0;0;480;0;10;400;AUTOMAAT;1/01/9999;false;5/05/2025;24/04/2025;99900;true;15/04/2025;XG;DAF;4X2;AUTOMAAT;0;19500;0;diesel;false;;;;false;;2;false;false;;L;;;
325912;6;XG;XG 530;DAF;6X2;XG;0;0;0;530;0;10;415;AUTOMAAT;1/01/9999;false;5/05/2025;24/04/2025;112900;true;14/04/2025;XG;DAF;6X2;AUTOMAAT;0;27000;0;diesel;false;;;;false;;2;false;false;;L;;;
325913;6;XG;XG 530;DAF;6X2;XG;0;0;0;530;0;10;415;AUTOMAAT;1/01/9999;false;5/05/2025;24/04/2025;112900;true;16/04/2025;XG;DAF;6X2;AUTOMAAT;0;27000;0;diesel;false;;;;false;;2;false;false;;L;;;
326859;6;FH;FH 500;VOLVO;4X2;GLOBETROTTER XL AERO;615;254;402;500;0;499;380;AUTOMAAT;1/01/9999;true;6/05/2025;6/05/2025;116900;true;29/01/2025;GLOBETROTTER XL AERO;VOLVO;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
327948;6;XG;XG 480;DAF;4X2;XG;650;255;380;480;0;10;400;AUTOMAAT;1/01/9999;false;6/10/2025;21/05/2025;0;true;6/05/2025;XG;DAF;4X2;AUTOMAAT;0;19500;0;diesel;false;;;;false;;2;false;false;;L;;;
327977;6;XG;XG 480;DAF;4X2;XG;650;255;380;480;0;10;400;AUTOMAAT;1/01/9999;false;6/10/2025;21/05/2025;0;true;6/05/2025;XG;DAF;4X2;AUTOMAAT;0;19500;0;diesel;false;;;;false;;2;false;false;;L;;;
328185;6;ACTROS;ACTROS 1845;MERCEDES;4X2;CLASSICSPACE;615;252;352;450;0;533241;370;AUTOMAAT;10/09/2019;true;18/06/2025;5/06/2025;21400;false;20/05/2019;CLASSICSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;0;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
328654;6;FH;FH 500;VOLVO;6X4;GLOBETROTTER;815;255;381;500;0;164199;390;AUTOMAAT;17/03/2022;false;30/06/2025;10/06/2025;199800;false;10/01/2022;GLOBETROTTER;VOLVO;6X4;AUTOMAAT;0;33000;13620;diesel;true;HMF;28;;true;;1;true;false;single;L;;;
328777;6;FH;FH 500;VOLVO;4X2;GLOBETROTTER;;255;;500;0;251089;380;AUTOMAAT;18/12/2020;false;5/08/2025;17/07/2025;59900;false;12/11/2020;GLOBETROTTER;VOLVO;4X2;AUTOMAAT;0;20500;;diesel;false;;;;false;;1;;false;single;L;;;
329568;6;FH;FH 500;VOLVO;4X2;GLOBETROTTER XL AERO;615;254;402;500;0;499;380;AUTOMAAT;1/01/9999;true;5/06/2025;4/06/2025;114900;true;12/11/2024;GLOBETROTTER XL AERO;VOLVO;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;2;false;false;;L;;Retarder;
334674;6;R;R520;SCANIA;4X2;CR20 HIGHLINE;600;255;392;520;0;171211;375;AUTOMAAT;1/06/2019;true;10/09/2025;20/08/2025;74900;false;15/07/2019;CR20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8235;diesel;false;;;;false;;1;false;false;single;L;;Retarder;
334711;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;20;360;AUTOMAAT;1/01/9999;false;7/08/2025;5/08/2025;86900;true;12/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
334712;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;19;360;AUTOMAAT;1/01/9999;false;7/08/2025;4/08/2025;86900;true;6/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
334713;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;20;360;AUTOMAAT;1/01/9999;false;7/08/2025;4/08/2025;86900;true;3/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
334716;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;16;360;AUTOMAAT;1/01/9999;false;7/08/2025;4/08/2025;86900;true;4/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
334717;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;16;360;AUTOMAAT;1/01/9999;false;7/08/2025;4/08/2025;86900;true;6/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
334718;2;TGS;TGS 33.400;MAN;6X4;NN;730;255;340;400;0;16;360;AUTOMAAT;1/01/9999;false;7/08/2025;5/08/2025;86900;true;4/03/2025;NN;MAN;6X4;AUTOMAAT;0;28000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
335469;6;ACTROS;ACTROS 1843;MERCEDES;4X2;COMPACTSPACE;1920;255;394;430;0;725089;385;AUTOMAAT;9/04/2015;true;25/09/2025;5/08/2025;0;false;20/03/2015;COMPACTSPACE;MERCEDES;4X2;AUTOMAAT;0;18000;;diesel;false;;;;false;;2;true;false;single;L;;Retarder;
335614;6;XF;XF 480;DAF;4X2;SUPER SPACE CAB;595;255;398;480;0;637857;380;AUTOMAAT;3/06/2020;true;1/09/2025;19/08/2025;27950;false;13/05/2020;SUPER SPACE CAB;DAF;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;1;false;false;single;L;;Retarder;
335618;6;XF;XF 530;DAF;4X2;SUPER SPACE CAB;595;255;400;530;0;319145;380;AUTOMAAT;30/07/2021;true;23/09/2025;26/08/2025;37900;false;18/06/2021;SUPER SPACE CAB;DAF;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;1;false;false;single;L;;Retarder;
335808;6;TGX;TGX 18.500;MAN;4X2;XLX;598;255;383;500;0;595133;360;AUTOMAAT;1/03/2018;true;29/08/2025;14/08/2025;0;false;26/01/2018;XLX;MAN;4X2;AUTOMAAT;0;19000;;diesel;false;;;;false;;2;false;false;;L;;Retarder;true
335892;6;FH;FH 500;VOLVO;4X2;GLOBETROTTER XL;600;254;405;500;0;360507;380;AUTOMAAT;11/09/2019;false;13/11/2025;13/10/2025;0;false;22/05/2019;GLOBETROTTER XL;VOLVO;4X2;AUTOMAAT;0;18600;8188;diesel;false;;;;false;;2;false;false;single;L;;;
336007;4;FM;FM 440;VOLVO;6X2;GLOBETROTTER;755;255;370;440;0;642011;370;AUTOMAAT;24/07/2008;false;29/08/2025;28/08/2025;127500;false;14/02/2008;GLOBETROTTER;VOLVO;6X2;AUTOMAAT;0;28000;19520;diesel;true;Palfinger;60;;true;;1;true;false;single;L;;;true
336420;6;XF;XF 480;DAF;4X2;SUPER SPACE CAB;595;255;397;480;1;391443;360;AUTOMAAT;3/05/2021;true;1/09/2025;18/08/2025;37950;false;16/04/2021;SUPER SPACE CAB;DAF;4X2;AUTOMAAT;0;19000;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
337495;6;;ACTROS L 1863;MERCEDES;4X2;GIGASPACE;635;255;396;630;0;206;370;AUTOMAAT;4/06/2025;true;5/09/2025;4/09/2025;137900;true;24/03/2025;GIGASPACE;MERCEDES;4X2;AUTOMAAT;0;18000;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
338966;6;T;T 520;RENAULT;4X2;HIGH SLEEPER CAB;595;255;395;520;0;631244;384;AUTOMAAT;13/07/2020;false;29/09/2025;23/09/2025;34900;false;26/03/2020;HIGH SLEEPER CAB;RENAULT;4X2;AUTOMAAT;0;21000;7919;diesel;false;;;;false;;1;true;false;single;L;;;
339385;6;C;C 440;RENAULT;6X4;DAY CAB;740;255;365;440;0;219535;360;AUTOMAAT;8/01/2020;false;26/09/2025;19/09/2025;129900;false;2/09/2019;DAY CAB;RENAULT;6X4;AUTOMAAT;0;29000;13965;diesel;true;Palfinger;33;;true;;1;true;false;single;L;;;
341104;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;330;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;13/11/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341108;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;18;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;13/10/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341109;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;0;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;16/10/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341110;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;400;440;0;68;360;HANDGESCHAKELD;1/01/9999;false;24/11/2025;13/11/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341116;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;400;440;0;62;360;HANDGESCHAKELD;1/01/9999;false;24/11/2025;13/11/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
343339;6;FH;FH 460;VOLVO;4X2;GLOBETROTTER XL;600;255;400;460;0;1080233;380;AUTOMAAT;26/10/2013;false;29/10/2025;16/10/2025;11000;false;31/10/2013;GLOBETROTTER XL;VOLVO;4X2;AUTOMAAT;0;18600;;diesel;false;;;;false;;2;;false;single;L;;;
343340;6;ACTROS;ACTROS 1945;MERCEDES;4X2;GIGASPACE;619;255;400;450;0;1180000;370;AUTOMAAT;20/10/2016;false;29/10/2025;16/10/2025;7500;false;27/07/2016;GIGASPACE;MERCEDES;4X2;AUTOMAAT;0;19000;;diesel;false;;;;false;;1;;false;single;L;;;
344344;6;AROCS;AROCS 2548;MERCEDES;6X2;CLASSICSPACE;660;255;354;480;0;192603;390;AUTOMAAT;4/03/2015;true;5/11/2025;31/10/2025;28900;false;27/02/2015;CLASSICSPACE;MERCEDES;6X2;AUTOMAAT;0;26500;8600;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
344801;6;XF;XF 480;DAF;4X2;SLEEPER HIGH CAB;640;260;398;480;0;231909;380;AUTOMAAT;2/05/2022;true;3/12/2025;5/11/2025;51900;false;16/03/2022;SLEEPER HIGH CAB;DAF;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
344869;6;ACTROS;ACTROS 1848;MERCEDES;4X2;STREAMSPACE;620;255;380;480;0;528568;370;AUTOMAAT;12/05/2020;true;4/12/2025;5/11/2025;31900;false;22/07/2019;STREAMSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;7734;diesel;false;;;;false;;1;true;false;single;L;;Retarder;
345159;6;S;S660;SCANIA;8X2;CS20 HIGHLINE;940;255;400;660;0;23218;515;HALFAUTOMAAT;26/02/2025;true;25/11/2025;19/11/2025;684900;false;30/04/2024;CS20 HIGHLINE;SCANIA;8X2;HALFAUTOMAAT;0;41000;25761;diesel;true;HMF;95;;true;;1;true;false;single;L;;Retarder;
345901;6;XG;XG 530;DAF;6X2;XG;675;255;395;530;0;10;416;AUTOMAAT;1/01/9999;false;22/11/2025;17/11/2025;112900;true;16/04/2025;XG;DAF;6X2;AUTOMAAT;0;27000;0;diesel;false;;;;false;;2;false;false;single;L;;;
347464;6;ACTROS;ACTROS 1943;MERCEDES;4X2;BIGSPACE;635;255;398;430;0;469375;385;AUTOMAAT;23/07/2019;false;3/12/2025;27/11/2025;24900;false;1/04/2019;BIGSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;7552;diesel;false;;;;false;;1;false;false;single;L;;;
341102;2;TGS;TGS 33.440;MAN;6X4;;0;0;0;440;0;0;;AUTOMAAT;1/01/9999;false;7/11/2025;16/10/2025;0;true;;;MAN;6X4;AUTOMAAT;0;;0;diesel;false;;;;false;;1;false;false;hub;L;;;false
345915;6;ACTROS;ACTROS 1845;MERCEDES;4X2;GIGASPACE;625;254;390;450;1;448390;370;AUTOMAAT;4/10/2022;true;12/11/2025;7/11/2025;45900;false;13/12/2021;GIGASPACE;MERCEDES;4X2;AUTOMAAT;0;18000;8201;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
331616;6;ACTROS;ACTROS 1845;MERCEDES;4X2;CLASSICSPACE;620;247;350;450;0;404200;370;AUTOMAAT;10/09/2019;true;18/07/2025;16/07/2025;21900;false;21/03/2019;CLASSICSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;7473;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
